# РАЗБОР ПРОВЕРОК, УМИРАЮЩИХ ВМЕСТЕ С JavaScript — по утверждениям, а не по файлам.
# Дерево: коммит 4780c595, ветка vypusk/zamestit-proverki. 886 блоков test(...) в 37 файлах.
# Категории: A1 — держит пример внутри .flang (переживёт выброс); A2 — держит только сверка
# self-*.test.mjs (умрёт вместе с JavaScript, но предмет — эталон на flang, перенос дешёвый);
# B — переносимо на flang test примером; C — выразимо только снаружи языка (прогонщик, C, фаззинг);
# D — не замещается ничем.
файл	название теста	категория	улика или довод
flang/test/hof.test.mjs	функция как значение: передать по имени, вернуть, положить в список	B	передача по имени — A1 (flang/stdlib/higher-order.flang:195 и далее, ведомость-примеров.txt:736 «55 55 0»); ВОЗВРАТ типом «функция из…» и СПИСОК функций в дереве не написаны ни разу
flang/test/hof.test.mjs	применение проверяет арность	B	flang/self/types.flang умеет FLANG_APPLY («а применено к»), но отрицательного примера нет: в корпусе self-types.test.mjs:1266 кодов FLANG_APPLY нет вовсе. Пишется как flang/self/otkazy-tipov.flang
flang/test/hof.test.mjs	применение проверяет типы аргументов	B	то же: flang/self/otkazy-tipov.flang — исходник строкой, код отказа строкой
flang/test/hof.test.mjs	применение проверяет тип результата	B	то же
flang/test/hof.test.mjs	применять можно только функцию	B	текст «применять можно только функцию» есть в flang/self/types.flang, примера на него нет
flang/test/hof.test.mjs	тип функции сравнивается целиком: и по аргументам, и по результату	B	то же
flang/test/hof.test.mjs	тип функции печатается словами исходника, включая вложенность и списки	B	печать типа есть у эталона (flang/self/types.flang:1192), примера с вложенным типом функции нет
flang/test/hof.test.mjs	неизвестная функция под словом «функция» названа именем	B	FLANG_UNKNOWN_NAME на узле fnref; примера нет
flang/test/hof.test.mjs	полиморфная функция значением стать не может, и это сказано	B	FLANG_TYPE_PARAM и текст «значением стать не может» есть в flang/self/types.flang, примера нет
flang/test/hof.test.mjs	функция под параметром типа: подстановка идёт и внутрь типа функции	A1	flang/stdlib/higher-order.flang:211-227 («Отобразить» от «А» и «Б», ф: функция из «А» в «Б») + примеры «Удвоение», «Точки в конце — тем же телом»; ведомость-примеров.txt:736 «55 55 0»
flang/test/hof.test.mjs	применение значения-функции не мешает доказать завершение	B	flang/self/totality.flang не знает НИ «apply», НИ «fnref» (ноль вхождений), тогда как flang/src/totality.mjs:306,723 разворачивает применение по тегам. Эталона у правила нет вовсе
flang/test/hof.test.mjs	тотальная функция, применяющая обычную, не доказывается — и причина названа	B	та же дыра в flang/self/totality.flang; пишется примером в flang/self/otkazy-totalnosti.flang
flang/test/hof.test.mjs	вечный цикл через высший порядок отвергается	B	та же дыра
flang/test/hof.test.mjs	тег, применённый на месте, даёт ровно одно ребро, а не все теги подряд	B	та же дыра
flang/test/hof.test.mjs	арность отсекает теги: применение к двум аргументам не видит одноместных	B	та же дыра
flang/test/hof.test.mjs	программа без функций-значений не получает ни одного нового ребра	A2	flang/test/self-totality.test.mjs:433 — вердикт совпадает со свидетелем на всех программах репозитория, а тегов там нет ни у одной, кроме higher-order.flang
flang/test/hof.test.mjs	огрубление названо: два независимых применения видят теги друг друга	B	та же дыра в flang/self/totality.flang; и в дереве нет ни одной программы, где огрубление срабатывает
flang/test/hof.test.mjs	значение-функция вычисляется: это тег, и применение — диспетчер по нему	A1	flang/stdlib/higher-order.flang:194-210 (одна «Свернуть» на три тега) + ведомость-примеров.txt:736 «55 55 0»
flang/test/hof.test.mjs	примеры с функцией-значением записываются и сходятся	A1	flang/stdlib/higher-order.flang — 55 примеров, почти все с «дано ф равно функция «…»»; ведомость-примеров.txt:736
flang/test/hof.test.mjs	значение примера сверяется с типом функции, а не принимается на слово	B	отрицательная сторона; flang/self/types.flang умеет, примера нет
flang/test/hof.test.mjs	тег, не называющий функции, в примере отвергается	B	то же
flang/test/hof.test.mjs	Ω, построенная в программе, отвергается анализом	B	дыра flang/self/totality.flang (нет apply/fnref); пишется примером в otkazy-totalnosti.flang
flang/test/hof.test.mjs	Ω, поданная снаружи тегом, не применяется: такого случая у диспетчера нет	C	значение подаётся ИЗВНЕ языка — аргументом вычислителя (`flang run --args`), примером такое не выражается
flang/test/hof.test.mjs	тег обычной функции снаружи не проходит по той же причине	C	то же: значение приходит снаружи
flang/test/hof.test.mjs	вариант, названный как функция, тегом не становится	A2	flang/test/self-tags.test.mjs:337-361 (нарочная программа ОДНОФАМИЛЕЦ) + flang/self/tags.flang
flang/test/hof.test.mjs	печать высшего порядка больше не отказывает: применение доезжает до C	A2	flang/self/defunc.flang + self-defunc.test.mjs:142 (побайтово на всём корпусе, higher-order.flang в нём) + flang/test/stdlib-hof.test.mjs:259 (диспетчер в напечатанном есть у всех восьми целей)
flang/test/hof.test.mjs	подделка захватом отвергнута завершаемостью: типы её пропускают, FLANG_NOT_TOTAL — нет	B	самое дорогое из непокрытого: захвата в дереве нет НИ РАЗУ, и flang/self/totality.flang про теги не знает вовсе
flang/test/hof.test.mjs	захват прижимает ЛЮБОЙ аргумент, не только первый — ради этого фаза и отступила от HOF.md	B	захват в .flang дерева не написан ни разу (проверено обходом); нарочная программа есть только в self-tags.test.mjs:302, и она про список тегов, а не про счёт
flang/test/hof.test.mjs	тип захваченного тега — по ОСТАВШИМСЯ параметрам, в порядке объявления	B	то же; отказы «не имеет параметра «третье»» и «захват «второе»» примерами не закрыты
flang/test/hof.test.mjs	порядок захвата обязан быть порядком объявления: два порядка дали бы одному значению два имени	B	соседнее утверждение держит self-tags.test.mjs:355 (оба написания дают ОДИН тег), но САМ ОТКАЗ FLANG_APPLY «не в порядке объявления» — только здесь
flang/test/hof.test.mjs	захват доезжает до C структурой с полем и разбором дискриминанта	B	печать захвата эталон умеет (flang/self/defunc.flang, «захвач» 29 раз), но в корпусе побайтовой сверки захвата нет ни в одной программе
flang/test/hof.test.mjs	тег без захвата печатается и считается ровно как до фазы 4	A1	flang/stdlib/higher-order.flang + ведомость-примеров.txt:736 — имя тега без захвата и его применение проверяются каждым из 55 примеров
flang/test/hof.test.mjs	тег с захватом, которого программа не строит, снаружи не проходит	C	значение приходит снаружи языка
flang/test/hof.test.mjs	захват в значении примера пишется и сходится с посчитанным	B	прямо просится примером; в дереве такого примера нет ни одного
flang/test/hof.test.mjs	одна функция обоими тегами сразу: целиком и с захватом — это РАЗНЫЕ теги	A2	flang/test/self-tags.test.mjs:302-361 (нарочная программа ЗАХВАТ: у «Сложить» ДВА тега) + flang/self/tags.flang:38-53
flang/test/hof.test.mjs	захват берёт ЗНАЧЕНИЕ локального имени, а не замыкается над ним	B	захвата с выражением в дереве нет; выражается примером на счёт («Проба» от 3 равно 11)
hotswap.test.mjs	нетотальный обработчик получает отказ на загрузке	A2	flang/test/self-hotswap.test.mjs:309 (исход «обработчик без тотальной»), кандидат :203, побайтовая сверка :433
hotswap.test.mjs	обработчик с признаком «тотальная», но недоказанный, тоже отвергается	A2	flang/test/self-hotswap.test.mjs:311 (исход «тотальность не доказана»), кандидат :221, диагностики целиком в :292
hotswap.test.mjs	ТОТАЛЬНЫЙ обработчик без оценки витков отвергается, когда названа граница	A2	flang/test/self-hotswap.test.mjs:312 и :314, сетка границ витков :243-245, :441 требует, чтобы оба исхода были задеты
hotswap.test.mjs	оценка, растущая с размером сообщения, границей не считается	A2	flang/test/self-hotswap.test.mjs:313 (исход «оценка обработчика растёт»), кандидат :232
hotswap.test.mjs	тотальный и ограниченный обработчик принимается, и процесс продолжает с того же состояния	A2	flang/test/self-hotswap.test.mjs:292 (в сравниваемом ответе есть «оценка» и «программа»), исход «принято» :300
hotswap.test.mjs	замена, не проходящая проверку типов, отвергается вместе с её диагностикой	A2	flang/test/self-hotswap.test.mjs:310 (исход «проверка типов»), кандидат :219
hotswap.test.mjs	замена приходит ПОД планировщиком: накопленное остаётся, ящик достаётся новому виду	D	flang/self/conc.flang:34-37 и :2097 (поле «замены» у эталона всегда пусто); flang/src/emit/js/flang_conc.js:32-33 (у напечатанных целей горячей замены нет)
hotswap.test.mjs	отвергнутая замена не трогает работающий прогон ни на виток	D	flang/self/conc.flang:34-37 и :2097; замены есть только у flang/src/conc.mjs
hotswap.test.mjs	тип сообщений сменить нельзя: в ящике уже лежит объявленный вид	A2	flang/test/self-hotswap.test.mjs:307 (исход «сменился тип сообщений»), кандидат :206
hotswap.test.mjs	новых процессов замена не заводит: это шаг Б1, а не Е1	A2	flang/test/self-hotswap.test.mjs:305 (исход «процесса нет в работающей»), кандидат :235
hotswap.test.mjs	надзор под работающим планировщиком не меняется	A2	flang/test/self-hotswap.test.mjs:303 (исход «надзор»), кандидат :205
hotswap.test.mjs	переобъявить существующий тип нельзя: иначе старое состояние станет непроверяемым	A2	flang/test/self-hotswap.test.mjs:304 (исход «переобъявленный тип»), кандидат :234
hotswap.test.mjs	перенос состояния между видами: старое переезжает функцией, а не догадкой	D	flang/self/hotswap.flang:38-41 (поля «состояние» в ответе нет: выполнение переноса за границей); flang/self/conc.flang:2097
hotswap.test.mjs	смена вида состояния без переноса отвергается: угадывать значение нечем	A2	flang/test/self-hotswap.test.mjs:316 (исход «переноса не названо»), кандидат :208
hotswap.test.mjs	перенос, названный там, где вид состояния не менялся, тоже отвергается	A2	flang/test/self-hotswap.test.mjs:315 (исход «перенос назван впустую»)
hotswap.test.mjs	перенос обязан быть тотальным — как обработчик, и той же проверкой	A2	flang/test/self-hotswap.test.mjs:318 (исход «перенос без тотальной»), кандидат :210
hotswap.test.mjs	перенос обязан принимать СТАРЫЙ вид и возвращать НОВЫЙ, и это сверяется по объявлениям	A2	flang/test/self-hotswap.test.mjs:320-321, кандидаты :212-213
hotswap.test.mjs	после замены НАДЗОР поднимает процесс в новом виде, а не в старом	D	flang/self/conc.flang:2097 (замены у эталона нет); перезапуск после замены живёт только в flang/src/conc.mjs
hotswap.test.mjs	растущая оценка переноса — не помеха, а посчитанная цена: подставляется РАЗМЕР ТОГО САМОГО состояния	A2	flang/test/self-hotswap.test.mjs:292 (поле «перенос» сверяется без «витки»), сетка с настоящим состоянием :254-257
hotswap.test.mjs	та же замена под МАЛОЙ границей отвергается, и в отказе стоит посчитанное число	A2	flang/test/self-hotswap.test.mjs:323 (исход «перенос дороже на состоянии»), сетка :254
hotswap.test.mjs	снятый по кванту пробег достаётся новому виду целиком, а не наполовину	D	flang/self/conc.flang:39-45 (вытеснения по кванту эталон не делает); flang/src/emit/js/flang_conc.js:32-33
hotswap.test.mjs	сообщение, возвращённое «${действие}», делится между видами: 1 + 1 + 100 = 102	D	flang/self/conc.flang:2097 (поле «замены» всегда пусто), отметка «наСередине» есть только у flang/src/conc.mjs
hotswap.test.mjs	замена на нетронутом ящике «наСередине» не ставит: отметка различает случаи	D	flang/self/conc.flang:2091-2097; «наСередине» — поле итога свидетеля
hotswap.test.mjs	замена, назначенная за концом прогона, отвечает отказом, а не молчанием	D	код ЗАМЕНА_НЕ_ЛЕГЛА живёт в flang/src/conc.mjs, у flang/self/conc.flang:2097 замен нет вовсе
hotswap.test.mjs	замена проверяется и без состояния — тогда перенос обязан быть постоянным	A2	flang/test/self-hotswap.test.mjs:324 (исход «оценка переноса растёт»), сетка без состояния :247
poly.test.mjs	параметры типа попадают в AST только когда написаны	A2	flang/test/self-parser.test.mjs:223 (побайтовая сверка AST по всем .flang дерева), корпус :160; параметрический тип — flang/stdlib/optional.flang:50
poly.test.mjs	аргументы типа попадают в AST только когда написаны	A2	flang/test/self-parser.test.mjs:223; аргументы типа в дереве — flang/stdlib/optional.flang:6165, непараметрические имена типов повсеместно
poly.test.mjs	применение правоассоциативно и совпадает со скобочной записью	B	бесскобочного «Возможно» от «Возможно» от числа в дереве нет ни одного (есть только скобочное examples/monad/order-total.flang:58)
poly.test.mjs	«и» в поле варианта не съедается списком аргументов типа	B	формы «содержит п: «Пара» от числа и строки и метка: строка» в дереве нет
poly.test.mjs	параметры типа функции читаются тем же словом «от»	A2	flang/test/self-parser.test.mjs:223; flang/stdlib/lists.flang:89 («Длина» от «А»)
poly.test.mjs	одно объявление обслуживает две подстановки сразу	A1	flang/stdlib/optional.flang:58-63 (два примера «Обернуть» — на числе и на строке), :92-95
poly.test.mjs	монада выразима: «Возможно» от «Возможно» — тот же тип, а не второй	B	вложенное применение есть только в examples/monad/order-total.flang:58, а этого каталога нет в корпусе flang/test/self-types.test.mjs:188
poly.test.mjs	подстановка идёт вглубь: поле параметрической записи знает свой тип	B	отрицательная половина (FLANG_TYPE на параметрическом поле) в сломанном корпусе flang/test/self-types.test.mjs:1266-1277 отсутствует
poly.test.mjs	аргументы типа выводятся из значений, а не пишутся при вызове	A1	flang/stdlib/optional.flang:58-63 (примеры решают подстановку по входу), flang/stdlib/optional.flang:6165
poly.test.mjs	вывод ловит несовпадение подстановки, а не молчит	B	перенос в пример по образцу flang/self/otkazy-tipov.flang:18-21: исходник → код FLANG_TYPE
poly.test.mjs	несовпадение названо целиком — «Возможно» от строки, а не «Возможно»	B	текст диагностики о подстановке нигде не закреплён; переносится примером «исходник → сообщение»
poly.test.mjs	конструктор без полей берёт параметр из ожидаемого типа	A1	flang/stdlib/optional.flang:109-111 (пример «У пустого головы нет» ждёт вариант «Нет» при «Возможно» от числа)
poly.test.mjs	нерешаемый параметр назван, а не подставлен наугад	B	FLANG_TYPE_PARAM нет в списке кодов сломанного корпуса flang/test/self-types.test.mjs:1274-1277
poly.test.mjs	арность аргументов типа проверяется	B	FLANG_TYPE_ARGS нет в списке кодов сломанного корпуса flang/test/self-types.test.mjs:1274-1277
poly.test.mjs	параметр, названный именем объявленного типа, отвергается	B	FLANG_TYPE_PARAM; правило есть в flang/self/types.flang:2413, проверки на него нет
poly.test.mjs	параметр, названный дважды, отвергается	B	FLANG_TYPE_PARAM; правило есть в flang/self/types.flang:2388, проверки на него нет
poly.test.mjs	параметр вне своего объявления неизвестен, как любое чужое имя	B	FLANG_UNKNOWN_NAME на имени параметра вне объявления в корпусе не встречается
poly.test.mjs	псевдоним тоже параметрический и разворачивается с подстановкой	B	параметрического псевдонима («тип «Х» от «А» это …») в дереве нет ни одного
poly.test.mjs	полиморфный модуль проходит завершаемость и считает примеры	A1	flang/stdlib/optional.flang:54-63 (полиморфная функция с примерами; 27 примеров в файле)
poly.test.mjs	значение-функция в примере полиморфной функции больше не ложный отказ	A1	flang/stdlib/higher-order.flang:211-227 («Отобразить» от «А» и «Б», примеры с функция «Удвоить» и функция «Заглавная точка» — две подстановки)
poly.test.mjs	подстановка примера решается по входу и держит ответ	B	отрицательный пример полиморфной функции; переносится по образцу flang/self/otkazy-tipov.flang
poly.test.mjs	аргументы примера обязаны быть одной подстановкой	B	то же
poly.test.mjs	голый параметр в примере перестал быть дырой	B	то же
poly.test.mjs	подстановка идёт в поля варианта: «Есть» от числа хранит число	B	отрицательная половина; положительная закрыта flang/test/self-types.test.mjs:1756
poly.test.mjs	ожидаемое значение решает подстановку, когда аргументов нет вовсе	B	полиморфной функции без аргументов с примером в дереве нет
poly.test.mjs	непараметрическая функция проверяется ровно как раньше	B	дословный текст «пример «…»: аргумент «х» не соответствует типу число» нигде не закреплён
poly.test.mjs	восемь целей печатают полиморфный модуль, не зная о параметрах	A2	flang/test/self-emit-c.test.mjs:297 и корпус :261 (flang/stdlib), те же проверки у self-emit-go/js/rust/python/java/csharp/elixir
poly.test.mjs	две подстановки дают одну фабрику варианта, а не две	B	счёт вхождений фабрики в напечатанном тексте — отдельное измерение, побайтовой сверкой печати не держится
poly.test.mjs	«от» после имени типа не ломает вызов функции в теле	A2	flang/test/self-parser.test.mjs:223 и flang/test/self-types.test.mjs:204 (обычные вызовы «Ф» от х есть в каждом файле корпуса)
factcheck.test.mjs	подтверждаемое утверждение подтверждается и объясняется	A2	flang/test/self-factcheck.test.mjs:576 (JSON вердикта знак в знак, вместе со steps), :556 (подтверждённых больше 50)
factcheck.test.mjs	утверждение о поле факта не требует вычислений	A2	flang/test/self-factcheck.test.mjs:328 (утверждения «поле «…» факта «…» равно …»), сверка :576
factcheck.test.mjs	английская поверхность утверждений равноправна русской	A2	flang/test/self-factcheck.test.mjs:260-263 и :493 (модели .en.fts) — при собранном dist, см. :108
factcheck.test.mjs	опровергаемое утверждение объясняет, что и на каком факте не сошлось	A2	flang/test/self-factcheck.test.mjs:590-613 (опровержения тем же текстом, больше 50 штук)
factcheck.test.mjs	нарушение свойства утилиты объясняется, а не выдаётся за «ложь»	B	постусловия — вне среза вычислителя эталона; flang/test/self-factcheck.test.mjs:672 прямо требует, чтобы таких вызовов в корпусе НЕ БЫЛО
factcheck.test.mjs	нетотальная функция — отказ, а не попытка выполнить	A2	flang/test/self-factcheck.test.mjs:562-565 (в корпусе обязан быть отказ «не помечена как «тотальная»»)
factcheck.test.mjs	тотальная функция, зовущая нетотальную, тоже отклоняется	B	текст «через «…»» в требованиях корпуса flang/test/self-factcheck.test.mjs:561-571 не назван, попадание в корпус не гарантировано
factcheck.test.mjs	тотальная функция в той же программе продолжает работать	A2	flang/test/self-factcheck.test.mjs:556
factcheck.test.mjs	лимит шагов соблюдается и называется в объяснении	A2	flang/test/self-factcheck.test.mjs:615-626 (случай с урезанным бюджетом), корпус :402-433
factcheck.test.mjs	с достаточным бюджетом то же утверждение подтверждается	A2	flang/test/self-factcheck.test.mjs:556
factcheck.test.mjs	факты не изменяются вычислением	D	предмет — мутация объекта JavaScript; в flang значение неизменяемо по построению (законно исчезает)
factcheck.test.mjs	модуль факт-чекинга не обращается к файлам, сети, времени и случайности	D	проверка читает ТЕКСТ flang/src/factcheck.mjs (строка 316) и ищет в нём Date/fetch/node:fs; чистота в flang — свойство языка (законно исчезает)
factcheck.test.mjs	двойной прогон даёт побайтово одинаковый ответ	D	детерминизм реализации на JavaScript; в flang функция чиста по построению (законно исчезает). Порядок ответов = порядок утверждений держится flang/test/self-factcheck.test.mjs:576
factcheck.test.mjs	порядок фактов во входе не влияет на ответ	B	независимость ответа от порядка фактов — утверждение о значении, выражается примером над «Проверить факты» (flang/self/factcheck.flang)
factcheck.test.mjs	неразобранное утверждение — отказ с указанием ожидаемой формы	A2	flang/test/self-factcheck.test.mjs:568-571
factcheck.test.mjs	отсутствующий факт назван по имени	A2	flang/test/self-factcheck.test.mjs:567
factcheck.test.mjs	пустой список утверждений — ответ ok без результатов	B	пустого списка утверждений в корпусе нет (flang/test/self-factcheck.test.mjs:539 требует больше 200 утверждений)
factcheck.test.mjs	сломанная программа не роняет библиотеку, а даёт отказ	A2	flang/test/self-factcheck.test.mjs:480-488 (случайСломанной), сверка :576
factcheck.test.mjs	flang facts: подтверждённое утверждение — JSON в stdout и код 0	C	код возврата процесса и разделение stdout/stderr
factcheck.test.mjs	flang facts: опровергнутое утверждение — код 1, но JSON всё равно в stdout	C	код возврата процесса
factcheck.test.mjs	flang facts: лимит шагов передаётся ключом --steps	C	разбор ключа командной строки и код возврата
factcheck.test.mjs	flang facts: без --claims — диагностика в stderr и код 2	C	код возврата 2 и stderr
factcheck.test.mjs	flang facts: неверный JSON в --claims — код 2 и внятная диагностика	C	код возврата 2 и stderr
entry-doors.test.mjs	facts: годный факт считается, и утверждение подтверждается	A2	flang/test/self-factcheck.test.mjs:576 (вердикт целиком, включая список steps), :556
entry-doors.test.mjs	facts: отрицательное вместо «нат» — отказ, а не «подтверждено»	B	граница входа: корпус self-factcheck строит факты ИЗ примеров (:291-304), в тип они попадают всегда; переносится примером «факт вне типа → FLANG_TYPE»
entry-doors.test.mjs	facts: дробное вместо «нат» — отказ, а не приговор «опровергнуто»	B	то же; в flang/self/factcheck.flang проверки границы входа сегодня нет вовсе
entry-doors.test.mjs	facts: за потолком «нат» — отказ по ТИПУ, а не предел глубины	B	то же; главное утверждение двери — FLANG_TYPE вместо FLANG_RECURSION_LIMIT
entry-doors.test.mjs	facts: строка вместо «нат» — отказ про ВХОД, а не про операцию в теле	B	то же
entry-doors.test.mjs	facts: имя факта названо рядом с именем аргумента	B	текст ««н» ← факт «сколько»» нигде не закреплён
entry-doors.test.mjs	facts: утверждение без вызова функции границей не задето	A2	flang/test/self-factcheck.test.mjs:328 (утверждения о поле факта), :576
entry-doors.test.mjs	flang facts: ложь в файле фактов — код 1 и FLANG_TYPE в stdout	C	код возврата процесса и stdout
entry-doors.test.mjs	io: программа плана проходит проверку — сверять будем ВХОД, а не её	A2	flang/test/self-io.test.mjs:182 (настоящая программа с планом сверяется со свидетелем), :203
entry-doors.test.mjs	io: годный отклик хозяина доводит план до конца	B	цикл плана над СПИСКОМ откликов — чистая функция; flang/self/io.flang считает только статические FLANG_PLAN (flang/test/self-io.test.mjs:93)
entry-doors.test.mjs	io: ЧУЖОЙ вариант отклика — не ошибка типа, а работа программы	B	то же: разбор чужого варианта веткой «случай любое» — утверждение о значении
entry-doors.test.mjs	io: «Сбой» хозяина по-прежнему доходит до программы	B	то же
entry-doors.test.mjs	io: ложь хозяина про тип поля не доезжает до программы	B	сверка отклика со словарём — чистая функция от значения; переносится примером «отклик → FLANG_TYPE»
entry-doors.test.mjs	io: ничто вместо числа — тоже отказ на границе	B	то же
entry-doors.test.mjs	io: поля вовсе нет — отказ на границе, а не в глубине вычисления	B	то же
entry-doors.test.mjs	io: хозяин, вернувший не отклик, отвергается как и прежде	B	то же (FLANG_IO)
entry-doors.test.mjs	flang io: настоящий хозяин проходит границу насквозь	C	запуск процесса flang io и настоящие часы
entry-doors.test.mjs	repl: ложь про тип отвергается внятно и НЕ роняет сессию	C	порождение процесса, stdin/stderr, код возврата 1; корпус flang/test/self-repl.test.mjs таких вводов не содержит (:688 разбирает обещания repl.test.mjs, а не этого файла)
entry-doors.test.mjs	repl: потолок «нат» держится и на введённом человеком литерале	C	то же
preemption.test.mjs	без кванта задержка равна цене САМОГО долгого пробега	D	поле «витки» и опция «квант» есть только у flang/src/conc.mjs; flang/self/conc.flang:39-45 и :2097 вытеснения не делает, flang/src/emit/js/flang_conc.js:32-33 — тоже (законно исчезает)
preemption.test.mjs	квант даёт ЧЕРЕДОВАНИЕ: короткий успевает всё, пока долгий ещё считает	D	то же (законно исчезает)
preemption.test.mjs	ЧЕГО КВАНТ НЕ ДАЁТ: самый дорогой пробег остаётся ровно таким же	D	то же (законно исчезает)
preemption.test.mjs	переплата за переделанную работу не больше троекратной, и это считается	D	то же (законно исчезает)
preemption.test.mjs	исход, состояния и число доставок не зависят от кванта	D	то же (законно исчезает)
preemption.test.mjs	на одном кванте и одном семени журнал повторяется побайтово	D	то же (законно исчезает)
preemption.test.mjs	В4: `доигрывать` даёт ПОТОЛОК — ни один пробег не длиннее кванта	D	опция «доигрывать» есть только у flang/src/conc.mjs; flang/self/conc.flang:39-45 (законно исчезает)
preemption.test.mjs	В4: у доигрывания переплаты НЕТ ВОВСЕ — витков ровно столько же, сколько без вытеснения	D	то же (законно исчезает)
preemption.test.mjs	В4: цена потолка НАЗВАНА — пробег на паузе держит кадры стека, а переигрывание не держит ничего	D	поле «кадров» у flang/self/conc.flang:2097 всегда ноль (законно исчезает)
preemption.test.mjs	В4: доигрывание прозрачно — исход, состояния, живые, отказы и число доставок те же	D	то же (законно исчезает)
preemption.test.mjs	В4: доигрывание НЕ ломает тотальности — предел пробегов остаётся пределом	D	то же (законно исчезает)
preemption.test.mjs	В4: на одном кванте и одном семени доигрывание повторяется побайтово	D	то же (законно исчезает)
preemption.test.mjs	В4: ИЗЪЯТИЕ — без `доигрывать` тот же квант потолка не даёт	D	то же (законно исчезает)
bounded.test.mjs	оценка не занижена: факт не больше оценки на всех длинах входа	C	факт витков меряется двоичным поиском по maxSteps вычислителя (bounded.test.mjs:49-73); flang/test/self-bounded.test.mjs:22-27 прямо говорит, что обе стороны ничего не вычисляют
bounded.test.mjs	оценка не занижена и на функциях БЕЗ рекурсии, где запаса у неё нет вовсе	C	то же: замер витков двоичным поиском
bounded.test.mjs	оценка не грубее факта втрое: иначе её не с чем свести	C	то же
bounded.test.mjs	оценка называется числами и коэффициенты не плавают от прогона к прогону	B	числа «11·н + 12» и «6·н + 7» — закрепление значения, а не согласия двух сторон; выражается примером над «Текст оценки» (flang/self/bounded.flang)
bounded.test.mjs	цикл по РАЗДУТОМУ списку оценки не получает: длина цикла — не размер входа	A2	flang/test/self-bounded.test.mjs:718 (побайтово на нарочных программах) и :742 (все достижимые причины отсутствия оценки покрыты)
bounded.test.mjs	РАСТУЩИЙ аргумент рекурсии оценки не получает: спуск ограничивает глубину, не цену	A2	flang/test/self-bounded.test.mjs:718 и :742
bounded.test.mjs	составная функция оценки не получает, и это названная потеря, а не молчание	A2	flang/test/self-bounded.test.mjs:718 и :742
bounded.test.mjs	рекурсия по ЧИСЛУ оценки не получает, и причина названа точно	A2	flang/test/self-bounded.test.mjs:718 и :742
bounded.test.mjs	ВЕТВЯЩАЯСЯ рекурсия оценки не получает даже со спуском по данным	A2	flang/test/self-bounded.test.mjs:718 и :742 (вторая половина — рост витков вдвое — замер, см. C)
bounded.test.mjs	взаимная рекурсия оставлена, и сказано, что оставлена	A2	flang/test/self-bounded.test.mjs:770 («взаимная рекурсия» до отчёта не доезжает ни разу) и :718
bounded.test.mjs	размер входа — структурный: скаляр единица, список единица плюс части	A2	flang/test/self-bounded.test.mjs:404 (размер значения совпадает со свидетелем на всех формах литерала)
dead-code.test.mjs	улика: импорт тянет 29 функций, а от точки входа достижимы 2	B	достижимость — чистая функция от связанной программы; стороны на flang у flang/src/reachable.mjs нет вовсе, сверки self-* тоже нет
dead-code.test.mjs	числа улики: сколько строк и байт занимало недостижимое в C и в JS	B	размер напечатанного текста — значение; сверки для reachable.mjs нет
dead-code.test.mjs	flang emit печатает урезанную программу — и ни одного мёртвого имени	C	запуск процесса flang emit и сверка его вывода
dead-code.test.mjs	сколько выброшено — видно в выводе команды, а не только в байтах	C	поле «отброшено» в выводе команды
dead-code.test.mjs	программа без импортов: тот же объект и та же печать байт в байт	C	печать через процесс flang emit (половина про «тот же объект» — тождество ссылок JS, законно исчезает)
dead-code.test.mjs	отбрасывать нечего — программа возвращается тем же объектом	D	предмет — тождество ссылки объекта JavaScript (dropUnreachable(...) === программа); в flang ссылок нет (законно исчезает)
dead-code.test.mjs	ловушка: функция-значение — не вызов, а её выбрасывать нельзя	B	reachableFunctions — чистая функция от программы, выражается примером
dead-code.test.mjs	ловушка: обработчик и начальное состояние процесса — имена строкой	B	entryPoints/dropUnreachable — чистые функции от программы
dead-code.test.mjs	ловушка: постусловие и мера держат функцию живой	B	то же
dead-code.test.mjs	экспортирует входного модуля — объявленная поверхность программы	B	то же
dead-code.test.mjs	ведомость не урезается: проверка по-прежнему видит все функции	C	запуск flang check --proof --json
dead-code.test.mjs	урезанное собирается компилятором C и отвечает на свою точку входа	C	сборка cc и запуск бинарника
cli-emit.test.mjs	печать в C даёт рантайм, модуль и Makefile	C	запуск процесса flang emit, состав напечатанных файлов
cli-emit.test.mjs	печать в Go даёт go.mod и пакеты	C	то же
cli-emit.test.mjs	печать в JS даёт один модуль с экспортами и прогонщик	C	то же
cli-emit.test.mjs	--no-cli снимает прогонщик у JS — остаётся один самодостаточный модуль	C	ключ командной строки (следствие в тексте закрыто flang/test/self-emit-js.test.mjs:674)
cli-emit.test.mjs	без --out файлы уходят в stdout вместе с путями и ничего не пишут на диск	C	stdout и состояние файловой системы
cli-emit.test.mjs	--out записывает ровно то, что уходит в stdout, и создаёт каталоги	C	запись файлов и создание каталогов
cli-emit.test.mjs	--out разворачивает и вложенные пути бэкенда	C	то же
cli-emit.test.mjs	неизвестная цель — диагностика с перечислением доступных, а не падение	C	код возврата 2 и stderr
cli-emit.test.mjs	цель обязательна, и отказ сразу называет доступные	C	код возврата 2 и stderr
